Please provide hourly results  in mg/m3 of CO monitoring conducted in Dublin City by completing the table below. ,,,,,,,,,
The 8 hour rolling avgerages will calculate automatically. ,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,
Dublin City Council,,,,,,,,,
Site,,           Wood Quay (Winetavern St.),,,,         Coleraine Street,,,
Date,Time,CO mg/m3,8 hr roling avg,Flag,Comment,CO mg/m3,8 hr roling avg,Flag,Comment
31/12/2010,17,,#DIV/0!,,,,#DIV/0!,,
31/12/2010,18,,#DIV/0!,,,,#DIV/0!,,
31/12/2010,19,,#DIV/0!,,,,#DIV/0!,,
31/12/2010,20,,#DIV/0!,,,,#DIV/0!,,
31/12/2010,21,,#DIV/0!,,,,#DIV/0!,,
31/12/2010,22,,#DIV/0!,,,,#DIV/0!,,
31/12/2010,23,,#DIV/0!,,,,#DIV/0!,,
1/1/2011,0,,0.2,,,,#DIV/0!,,
1/1/2011,1,0.2,0.1,2,,0.5,0.5,2,
1/1/2011,2,0.1,0.1,2,,0.6,0.5,2,
1/1/2011,3,0.1,0.1,2,,0.6,0.6,2,
1/1/2011,4,0.1,0.1,2,,0.5,0.5,2,
1/1/2011,5,0.1,0.1,2,,0.4,0.5,2,
1/1/2011,6,0.1,0.1,2,,0.4,0.5,2,
1/1/2011,7,0.1,0.1,2,,0.4,0.5,2,
1/1/2011,8,0.1,0.1,2,,0.3,0.4,2,
1/1/2011,9,0.1,0.1,2,,0.3,0.4,2,
1/1/2011,10,0,0.1,2,,0.3,0.4,2,
1/1/2011,11,0,0.1,2,,0.3,0.4,2,
1/1/2011,12,0.1,0.1,2,,0.3,0.3,2,
1/1/2011,13,0,0.1,2,,0.3,0.3,2,
1/1/2011,14,0,0.1,2,,0.3,0.3,2,
1/1/2011,15,0,0.1,2,,0.3,0.3,2,
1/1/2011,16,0,0.1,2,,0.3,0.3,2,
1/1/2011,17,0,0,2,,0.3,0.3,2,
1/1/2011,18,0.1,0,2,,0.3,0.3,2,
1/1/2011,19,0,0,2,,0.4,0.3,2,
1/1/2011,20,0.1,0,2,,0.4,0.3,2,
1/1/2011,21,0.1,0,2,,0.4,0.3,2,
1/1/2011,22,0,0,2,,0.3,0.3,2,
1/1/2011,23,0,0,2,,0.3,0.3,2,
2/1/2011,0,0,0,2,,0.3,0.3,2,
2/1/2011,1,0,0,2,,0.2,0.3,2,
2/1/2011,2,0,0,2,,0.2,0.3,2,
2/1/2011,3,0,0,2,,0.2,0.3,2,
2/1/2011,4,0,0,2,,0.2,0.3,2,
2/1/2011,5,0,0,2,,0.2,0.3,2,
2/1/2011,6,0,0,2,,0.2,0.3,2,
2/1/2011,7,0,0,2,,0.3,0.2,2,
2/1/2011,8,0,0,2,,0.2,0.2,2,
2/1/2011,9,0,0,2,,0.3,0.2,2,
2/1/2011,10,0,0,2,,0.2,0.2,2,
2/1/2011,11,0,0,2,,0.2,0.2,2,
2/1/2011,12,0,0,2,,0.3,0.2,2,
2/1/2011,13,0,0,2,,0.3,0.2,2,
2/1/2011,14,0,0,2,,0.3,0.3,2,
2/1/2011,15,0.1,0,2,,0.3,0.3,2,
2/1/2011,16,0.1,0,2,,0.3,0.3,2,
2/1/2011,17,0.1,0,2,,0.3,0.3,2,
2/1/2011,18,0.1,0,2,,0.4,0.3,2,
2/1/2011,19,0.1,0.1,2,,0.4,0.3,2,
2/1/2011,20,0.1,0.1,2,,0.5,0.3,2,
2/1/2011,21,0.1,0.1,2,,0.5,0.4,2,
2/1/2011,22,0.1,0.1,2,,0.4,0.4,2,
2/1/2011,23,0.1,0.1,2,,0.5,0.4,2,
3/1/2011,0,0.1,0.1,2,,0.5,0.4,2,
3/1/2011,1,0.1,0.1,2,,0.4,0.4,2,
3/1/2011,2,0.1,0.1,2,,0.4,0.4,2,
3/1/2011,3,0.1,0.1,2,,0.3,0.4,2,
3/1/2011,4,0,0.1,2,,0.3,0.4,2,
3/1/2011,5,0,0.1,2,,0.2,0.4,2,
3/1/2011,6,0,0.1,2,,0.2,0.4,2,
3/1/2011,7,0,0,2,,0.2,0.3,2,
3/1/2011,8,0,0,2,,0.3,0.3,2,
3/1/2011,9,0,0,2,,0.3,0.3,2,
3/1/2011,10,0,0,2,,0.2,0.3,2,
3/1/2011,11,0,0,2,,0.2,0.2,2,
3/1/2011,12,0,0,2,,0.3,0.2,2,
3/1/2011,13,0.1,0,2,,0.3,0.2,2,
3/1/2011,14,0,0,2,,0.3,0.3,2,
3/1/2011,15,0,0,2,,0.4,0.3,2,
3/1/2011,16,0,0,2,,0.7,0.3,2,
3/1/2011,17,0.1,0.1,2,,0.6,0.4,2,
3/1/2011,18,0.2,0.1,2,,0.8,0.4,2,
3/1/2011,19,0.3,0.1,2,,0.7,0.5,2,
3/1/2011,20,0.3,0.1,2,,0.6,0.5,2,
3/1/2011,21,0.1,0.1,2,,0.4,0.6,2,
3/1/2011,22,0,0.1,2,,0.3,0.6,2,
3/1/2011,23,0,0.1,2,,0.2,0.5,2,
4/1/2011,0,0,0.1,2,,0.2,0.5,2,
4/1/2011,1,0,0.1,2,,0.2,0.4,2,
4/1/2011,2,0,0.1,2,,0.2,0.4,2,
4/1/2011,3,0,0.1,2,,0.2,0.3,2,
4/1/2011,4,0,0,2,,0.2,0.3,2,
4/1/2011,5,0,0,2,,0.2,0.2,2,
4/1/2011,6,0,0,2,,0.2,0.2,2,
4/1/2011,7,0,0,2,,0.3,0.2,2,
4/1/2011,8,0,0,2,,0.4,0.3,2,
4/1/2011,9,0,0,2,,0.4,0.3,2,
4/1/2011,10,0,0,2,,0.4,0.3,2,
4/1/2011,11,CAL,0,0,,0.4,0.3,2,
4/1/2011,12,CAL,0,0,,0.4,0.3,2,
4/1/2011,13,CAL,0,0,,0.4,0.4,2,
4/1/2011,14,0,0,2,,0.4,0.4,2,
4/1/2011,15,0,0,2,,0.5,0.4,2,
4/1/2011,16,0.1,0,2,,0.4,0.4,2,
4/1/2011,17,0.1,0.1,2,,0.4,0.4,2,
4/1/2011,18,0.1,0.1,2,,0.4,0.4,2,
4/1/2011,19,0.1,0.1,2,,0.3,0.4,2,
4/1/2011,20,0,0.1,2,,0.4,0.4,2,
4/1/2011,21,0,0.1,2,,0.4,0.4,2,
4/1/2011,22,0,0.1,2,,0.3,0.4,2,
4/1/2011,23,0,0.1,2,,0.3,0.4,2,
5/1/2011,0,0,0,2,,0.3,0.3,2,
5/1/2011,1,0,0,2,,0.3,0.3,2,
5/1/2011,2,0,0,2,,0.3,0.3,2,
5/1/2011,3,0,0,2,,0.3,0.3,2,
5/1/2011,4,0,0,2,,0.3,0.3,2,
5/1/2011,5,0,0,2,,0.3,0.3,2,
5/1/2011,6,0,0,2,,0.3,0.3,2,
5/1/2011,7,0,0,2,,0.4,0.3,2,
5/1/2011,8,0,0,2,,0.4,0.3,2,
5/1/2011,9,0,0,2,,0.4,0.3,2,
5/1/2011,10,0,0,2,,0.3,0.3,2,
5/1/2011,11,0,0,2,,0.3,0.3,2,
5/1/2011,12,0,0,2,,0.4,0.4,2,
5/1/2011,13,0,0,2,,0.4,0.4,2,
5/1/2011,14,0,0,2,,cal,0.4,0,
5/1/2011,15,0,0,2,,0.3,0.4,2,
5/1/2011,16,0.1,0,2,,0.3,0.3,2,
5/1/2011,17,0.1,0.1,2,,0.4,0.3,2,
5/1/2011,18,0.2,0.1,2,,0.5,0.4,2,
5/1/2011,19,0.1,0.1,2,,0.5,0.4,2,
5/1/2011,20,0.1,0.1,2,,0.5,0.4,2,
5/1/2011,21,0.1,0.1,2,,0.5,0.4,2,
5/1/2011,22,0.1,0.1,2,,0.5,0.4,2,
5/1/2011,23,0.1,0.1,2,,0.5,0.5,2,
6/1/2011,0,0.1,0.1,2,,0.4,0.5,2,
6/1/2011,1,0.1,0.1,2,,0.4,0.5,2,
6/1/2011,2,0.1,0.1,2,,0.3,0.5,2,
6/1/2011,3,0,0.1,2,,0.2,0.4,2,
6/1/2011,4,0,0.1,2,,0.2,0.4,2,
6/1/2011,5,0,0.1,2,,0.3,0.4,2,
6/1/2011,6,0.1,0.1,2,,0.3,0.3,2,
6/1/2011,7,0.1,0.1,2,,0.4,0.3,2,
6/1/2011,8,0.1,0.1,2,,0.4,0.3,2,
6/1/2011,9,0.2,0.1,2,,0.5,0.3,2,
6/1/2011,10,0.2,0.1,2,,0.4,cal,2,
6/1/2011,11,0.1,0.1,2,,0.3,0.3,2,
6/1/2011,12,0.1,0.1,2,,0.2,0.3,2,
6/1/2011,13,0.1,0.1,2,,0.2,0.3,2,
6/1/2011,14,0,0.1,2,,0.2,0.3,2,
6/1/2011,15,0.1,0.1,2,,0.6,0.4,2,
6/1/2011,16,0.1,0.1,2,,0.9,0.4,2,
6/1/2011,17,0.3,0.1,2,,0.8,0.5,2,
6/1/2011,18,0.3,0.1,2,,0.8,0.5,2,
6/1/2011,19,0.3,0.2,2,,1.2,0.6,2,
6/1/2011,20,0.3,0.2,2,,1.7,0.8,2,
6/1/2011,21,0.6,0.2,2,,1.9,1,2,
6/1/2011,22,0.6,0.3,2,,2.2,1.3,2,
6/1/2011,23,0.7,0.4,2,,1.9,1.4,2,
7/1/2011,0,0.6,0.5,2,,1.1,1.4,2,
7/1/2011,1,0.5,0.5,2,,1.7,1.5,2,
7/1/2011,2,0.4,0.5,2,,1.5,1.6,2,
7/1/2011,3,0.6,0.6,2,,1.5,1.7,2,
7/1/2011,4,0.5,0.6,2,,0.2,1.5,2,
7/1/2011,5,0.3,0.5,2,,0.1,1.3,2,
7/1/2011,6,0,0.5,2,,0.1,1,2,
7/1/2011,7,0,0.4,2,,0.1,0.8,2,
7/1/2011,8,0,0.3,2,,0.2,0.7,2,
7/1/2011,9,0.1,0.2,2,,0.3,0.5,2,
7/1/2011,10,0.1,0.2,2,,0.3,0.3,2,
7/1/2011,11,0.1,0.1,2,,0.3,0.2,2,
7/1/2011,12,0.1,0.1,2,,0.4,0.2,2,
7/1/2011,13,0.1,0,2,,0.6,0.3,2,
7/1/2011,14,0.1,0.1,2,,0.4,0.3,2,
7/1/2011,15,0.1,0.1,2,,0.4,0.4,2,
7/1/2011,16,0.1,0.1,2,,0.4,0.4,2,
7/1/2011,17,0.2,0.1,2,,0.5,0.4,2,
7/1/2011,18,0.2,0.1,2,,0.5,0.4,2,
7/1/2011,19,0.2,0.1,2,,0.5,0.5,2,
7/1/2011,20,0.2,0.1,2,,0.6,0.5,2,
7/1/2011,21,0.2,0.1,2,,0.3,0.4,2,
7/1/2011,22,0.1,0.1,2,,0.2,0.4,2,
7/1/2011,23,0.1,0.1,2,,0.3,0.4,2,
8/1/2011,0,0.1,0.1,2,,0.2,0.4,2,
8/1/2011,1,0,0.1,2,,0.2,0.3,2,
8/1/2011,2,0,0.1,2,,0.1,0.3,2,
8/1/2011,3,0,0.1,2,,0.1,0.3,2,
8/1/2011,4,0,0.1,2,,0,0.2,2,
8/1/2011,5,0,0.1,2,,0,0.2,2,
8/1/2011,6,0,0,2,,0.1,0.1,2,
8/1/2011,7,0,0,2,,0.1,0.1,2,
8/1/2011,8,0,0,2,,0.1,0.1,2,
8/1/2011,9,0,0,2,,0.2,0.1,2,
8/1/2011,10,0,0,2,,0.2,0.1,2,
8/1/2011,11,0,0,2,,0.2,0.1,2,
8/1/2011,12,0,0,2,,0.2,0.2,2,
8/1/2011,13,0,0,2,,0.2,0.2,2,
8/1/2011,14,0,0,2,,0.2,0.2,2,
8/1/2011,15,0,0,2,,0.2,0.2,2,
8/1/2011,16,0,0,2,,0.2,0.2,2,
8/1/2011,17,0,0,2,,0.2,0.2,2,
8/1/2011,18,0,0,2,,0.3,0.2,2,
8/1/2011,19,0,0,2,,0.2,0.2,2,
8/1/2011,20,0,0,2,,0.2,0.2,2,
8/1/2011,21,0,0,2,,0.2,0.2,2,
8/1/2011,22,0.1,0,2,,0.2,0.2,2,
8/1/2011,23,0,0,2,,0.2,0.2,2,
9/1/2011,0,0,0,2,,0.2,0.2,2,
9/1/2011,1,0,0,2,,0.1,0.2,2,
9/1/2011,2,0,0,2,,0.1,0.2,2,
9/1/2011,3,0,0,2,,0.1,0.2,2,
9/1/2011,4,0,0,2,,0.1,0.2,2,
9/1/2011,5,0,0,2,,0.1,0.1,2,
9/1/2011,6,0,0,2,,0.1,0.1,2,
9/1/2011,7,0,0,2,,0.1,0.1,2,
9/1/2011,8,0,0,2,,0.2,0.1,2,
9/1/2011,9,0,0,2,,0.2,0.1,2,
9/1/2011,10,0,0,2,,0.2,0.2,2,
9/1/2011,11,0,0,2,,0.2,0.2,2,
9/1/2011,12,0,0,2,,0.2,0.2,2,
9/1/2011,13,0,0,2,,0.3,0.2,2,
