Please provide hourly results in ug/m3 of PM 10 monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Marino,,,Coleraine St.,,,Phoenix Park,,,Wood Quay (Winetavern St.),,,Rathmines,,,Ballyfermot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PM2.5(µg m-3),Flag,Comment ,PM2.5 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-11,16.8,1,,17,1,,14.7,1,,20.7,1,,19.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-11,12.6,1,,8.9,1,,10.7,1,,13.5,1,,16.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-11,25.1,1,,18,1,,16.0,1,,23.1,1,,24.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-11,8.1,1,,9.3,1,,7.5,1,,10.8,1,,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-11,8.3,1,,10.1,1,,8.1,1,,13.8,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-11,24.6,1,,32,1,,17.6,1,,37.4,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-11,14.3,1,,19.7,1,,16.4,1,,28.6,1,,39.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-11,12.5,1,,10.1,1,,10.4,1,,9.6,1,,12.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-11,9.9,1,,12,1,,8.7,1,,13.5,1,,15.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-11,11.0,1,,11.6,1,,8.7,1,,13.5,1,,12.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
