Please provide hourly results in ug/m3 of SO2  monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,
The daily average will calculate automatically. Please also provide a flag number (see comment for list) for the data entered if possible. ,,,,,,,,,,,,,
The comment field is optional. If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,
Please indicate if any of the stations listed have been reomved from the network.,,,,,,,,,,,,,
Dublin City Council,,                  Coleraine Street ,,,,                        Wood Quay (Winetavern St.),,,,                               ,,Ballyfermot,
Site,,,,,,                ,,,,,,,
Date,Time,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment
01/01/2011,0.00,,,,,,,,,,,,
01/01/2011,1.00,2.2,,2,,0.2,,2,,,,,
01/01/2011,2.00,2.0,,2,,0.0,,2,,,,,
01/01/2011,3.00,1.7,,2,,0.1,,2,,,,,
01/01/2011,4.00,1.7,,2,,0.0,,2,,,,,
01/01/2011,5.00,1.5,,2,,0.0,,2,,,,,
01/01/2011,6.00,1.4,,2,,0.0,,2,,,,,
01/01/2011,7.00,1.0,,2,,0.2,,2,,,,,
01/01/2011,8.00,0.8,,2,,0.0,,2,,,,,
01/01/2011,9.00,0.7,,2,,-0.1,,2,,,,,
01/01/2011,10.00,0.7,,2,,0.1,,2,,,,,
01/01/2011,11.00,0.7,,2,,-0.2,,2,,,,,
01/01/2011,12.00,0.8,,2,,-0.1,,2,,,,,
01/01/2011,13.00,0.8,,2,,-0.1,,2,,,,,
01/01/2011,14.00,0.7,,2,,-0.2,,2,,,,,
01/01/2011,15.00,0.5,,2,,-0.2,,2,,,,,
01/01/2011,16.00,0.4,,2,,-0.1,,2,,,,,
01/01/2011,17.00,0.5,,2,,-0.1,,2,,,,,
01/01/2011,18.00,0.5,,2,,-0.1,,2,,,,,
01/01/2011,19.00,0.4,,2,,0.0,,2,,,,,
01/01/2011,20.00,0.4,,2,,-0.2,,2,,,,,
01/01/2011,21.00,0.2,,2,,-0.2,,2,,,,,
